id,leiden_label,infomap_label,tsne-one,tsne-two
195528,1,0,17.257769,11.988899
195552,0,0,-29.59615,-3.0084941
195602,1,3,40.51711,21.656956
184150,-1,-1,19.892387,9.64251
195652,2,0,-32.388996,18.567404
195785,0,0,-6.978548,-9.374106
179644,0,0,-13.2754755,-2.0938106
179665,1,3,35.79035,18.968916
195970,-1,-1,11.121794,-31.317076
184290,0,0,-15.54511,4.5479474
184294,0,0,-18.982481,7.7608275
179778,0,0,-0.6559073,-25.697485
196168,0,0,-4.619473,5.307448
179912,1,1,31.510372,39.1944
196434,2,0,-19.581675,17.364256
179963,0,0,5.701505,3.409006
196473,0,0,-8.850799,-6.4562135
196787,0,0,8.649298,-10.192549
184508,0,0,34.637547,-20.153177
197016,0,0,-15.268609,6.752866
197065,0,0,8.661079,-13.630368
184632,1,3,38.242912,18.135035
197333,1,0,15.287886,11.381893
197565,2,0,7.4169226,16.255177
184761,2,2,-22.777481,34.681454
184807,1,3,35.37738,18.101555
197891,-1,-1,15.002998,-36.023228
198141,1,1,18.229647,43.79779
198143,-1,-1,15.944732,-38.793785
198203,1,1,20.835945,54.02316
198765,0,0,-4.5632176,-19.317827
199087,0,0,-1.6865164,6.60813
199300,0,0,-21.227705,7.036599
199357,0,0,-18.227745,-32.66422
199395,2,2,-26.330662,46.64919
199404,0,0,9.675818,-28.76633
199599,2,2,-24.466093,44.596245
199848,0,0,-20.423672,-3.2308767
199976,1,1,29.149902,35.26758
199977,1,1,17.3241,44.476994
185439,0,0,-3.871375,-18.311161
185710,1,0,9.06172,9.933768
185786,1,3,46.12374,24.357302
185808,0,0,-23.504353,-25.563318
185855,2,0,-7.355398,13.780607
185898,2,0,-0.057341587,29.68729
186033,2,0,-1.4576378,14.135099
186177,2,0,-25.588112,38.19542
186301,0,0,-6.538201,-16.637842
186649,0,0,-10.016548,-25.000868
186676,2,2,-23.80824,32.127567
186927,1,1,21.29839,52.24528
187101,1,0,15.138668,30.84487
187661,-1,-1,0.78041756,-24.20838
187699,2,2,-21.828503,40.31909
187745,2,-1,-22.747292,-1.0390872
188065,1,0,32.240154,-1.5935196
188260,2,2,-24.40863,43.925156
188665,2,0,-15.505634,22.274372
188666,0,0,-25.05172,-32.596634
188717,0,0,-21.688656,0.38372064
189058,2,0,-8.576484,28.490984
189077,0,0,-2.2588835,-6.521745
189387,0,0,2.6099095,-8.161465
189489,1,0,31.189692,0.21308397
189632,0,0,-13.33866,8.572298
189767,0,0,-0.76520675,2.0581005
189798,0,0,-12.736072,-27.181322
218445,2,2,-28.149336,54.17273
176738,0,0,4.6392546,-24.65528
183100,0,0,-15.133494,-19.463717
218546,2,2,-45.02482,34.13596
176901,1,0,17.458588,9.13405
218673,0,0,11.523328,-8.552111
218725,2,0,-12.560406,31.747757
218731,0,0,-5.284316,0.1638008
218813,1,0,31.468937,3.2889237
218821,1,1,31.823437,40.898937
177066,0,0,-23.001608,-18.66331
177207,2,0,-8.37579,15.263989
183294,2,-1,-24.816153,29.67611
219108,0,0,-22.147955,-21.67167
177332,1,0,31.84393,-1.1174862
177406,0,0,-31.282734,-26.268232
219278,1,0,25.1301,34.258545
219359,1,0,14.89672,-1.9758708
219511,0,0,-22.444202,-28.772923
177600,2,0,24.495169,-2.495953
183446,0,0,1.5649567,2.3396065
177636,0,0,28.225601,-24.02825
190129,-1,-1,23.016638,-40.23169
190176,0,0,-9.133768,-21.863197
190232,0,0,-13.310533,9.491324
219650,0,0,-12.962721,-18.87444
190476,0,0,-7.1435738,-11.330392
190592,1,1,21.193237,53.19934
190916,-1,-1,33.88882,-21.914433
191207,0,0,-34.262146,-12.487398
191235,1,0,12.634494,24.4229
191306,1,3,35.50424,15.404939
191703,1,3,35.250977,12.890907
177799,1,0,30.347128,-4.540423
191926,-1,-1,33.243137,-21.825817
192172,0,0,3.929586,-6.6244097
192180,0,0,-8.072892,-17.0169
192206,2,2,-26.936014,41.123135
192257,0,0,-21.395458,-29.28528
192399,0,0,-24.223902,-33.434605
192501,0,0,-4.1943336,9.590333
192788,0,0,10.536499,-7.696615
192922,0,0,-23.460913,-24.95486
193198,1,1,16.434341,46.92807
193252,2,0,-20.755793,35.324688
193253,1,1,24.836784,38.039562
193818,0,0,2.1731186,-18.114555
193826,0,0,-11.534566,-27.895075
194035,0,0,-31.708233,5.5409107
178167,0,0,-18.214514,-22.642128
178189,0,0,-20.474585,-23.309998
178201,0,0,-7.1340566,-25.908464
178218,2,0,-15.965995,14.155099
178236,2,0,-11.524677,26.356562
194171,0,0,-28.99907,-21.6943
178357,1,3,39.054962,22.429893
178410,1,1,20.164095,49.232777
178424,2,2,-21.972757,50.37588
183763,0,0,-23.923727,-19.847488
183814,0,0,-18.969553,-24.796942
178633,0,0,-26.628286,0.37125722
194615,2,0,1.1322428,21.573048
194704,2,0,4.0936,16.183605
194706,2,0,14.848202,35.118595
178818,1,1,45.61743,26.619015
194759,2,2,-20.977951,54.661358
194784,1,0,13.228661,20.80804
178915,2,0,-4.343728,11.715826
194825,0,0,-6.32689,-7.4548573
194908,2,2,-27.956427,52.328796
195021,1,3,39.2847,21.707714
184019,0,0,-5.027407,7.544173
184022,1,3,35.30025,19.623682
184048,0,0,-22.404865,-25.750114
184055,1,1,21.459415,51.537376
195381,2,0,-24.402903,12.522687
179359,0,4,9.663957,-50.866577
195449,1,1,20.857914,54.570423
172951,0,0,-1.7873027,6.677826
203523,1,1,19.177849,40.754112
173085,0,0,10.421657,-11.974752
181363,0,0,-27.226072,-6.9700265
203784,0,0,-18.87794,-18.221834
203920,2,0,-25.414637,34.099247
181465,0,0,7.009585,-11.254114
173379,0,0,-17.196014,-11.604118
204103,0,0,-1.8678982,4.6551876
204388,1,3,46.398056,20.266632
173672,1,1,33.474033,37.810097
181630,1,1,35.85725,44.763145
173773,-1,-1,30.862732,-22.891714
204733,0,0,11.074599,2.8476791
204775,0,0,-5.5071783,2.325853
204776,1,0,19.799894,10.364194
173927,2,2,12.378452,54.437244
174063,2,0,-21.883743,23.846298
174125,1,0,12.875045,4.389713
181912,2,2,-22.48211,39.333195
181961,0,0,-26.755476,-24.545134
215009,1,1,21.077627,45.561848
215065,-1,-1,33.24324,-21.825806
174417,0,0,-17.433386,-14.425387
181988,0,0,-26.465267,-34.913822
174454,2,2,-45.034584,36.486427
215277,2,2,-26.80169,36.24565
174498,2,0,-5.0986595,-0.47595826
174555,1,1,32.479446,42.812927
182106,1,3,49.68663,18.01241
215645,2,0,-30.42293,20.324095
174875,1,1,31.680052,39.652264
174957,0,0,-15.729103,-12.668406
216049,0,0,1.5027018,-6.4176593
216087,0,0,-13.080735,-15.351912
216104,0,0,-13.836577,-18.418344
175134,-1,-1,13.120647,-16.172565
216246,2,2,-45.034584,36.486427
175144,0,0,-21.225306,-24.197552
216292,1,-1,30.574131,-5.981714
175186,2,2,-29.23721,51.939224
175270,1,1,22.41711,43.570927
216710,0,0,-6.1910286,-17.059978
216891,0,0,-21.839142,2.617109
175739,2,0,-17.321592,17.3071
182622,2,2,-45.262787,36.378357
175902,2,0,1.4908806,27.047955
175905,2,-1,-19.0765,54.90595
182707,0,0,-24.179205,-17.117592
217412,2,0,10.998324,14.890334
176021,1,1,21.418102,54.427486
176022,2,0,0.108480595,11.392412
176053,1,1,25.752226,22.21627
217629,2,0,2.878518,25.164589
176159,0,0,6.8221536,-3.5701995
217812,0,0,-1.984257,-24.472738
176464,0,0,-29.595974,-3.0085313
176469,2,0,1.203733,23.646662
218149,-1,-1,17.170065,-41.543457
176564,0,0,-14.061033,1.4209962
176620,0,0,10.41067,-8.04262
176668,1,3,38.578613,16.684729
56792,1,1,24.859867,50.492207
56872,0,0,-0.62357163,-17.918108
56908,0,0,-0.9510595,-10.642492
56919,0,0,21.858503,-4.01169
56923,0,0,-26.276094,2.6858337
56929,0,0,-28.16837,-12.806917
56930,2,2,-23.691792,38.54325
56972,2,0,-30.516048,30.707647
56992,0,0,0.2342117,-46.661026
57076,2,0,-28.450943,9.200304
57094,1,1,6.607374,27.1163
57097,2,0,-12.841146,14.653581
57101,0,0,-17.700716,-8.222795
57125,1,0,18.907877,24.814072
57135,1,0,13.220001,20.801098
57161,0,0,-20.238308,-2.4735942
57213,0,0,-11.947995,7.4654536
57214,2,0,-4.010733,28.56981
57296,0,0,-0.0049843187,-15.076658
57381,0,0,25.844112,-5.862823
57400,2,0,-8.55504,19.589605
57436,-1,-1,23.01677,-40.231537
57443,2,0,-14.600059,11.815938
57446,1,0,13.895342,4.150587
57447,0,0,-20.347847,-8.80275
57470,2,2,-29.182974,48.932972
57471,0,0,-24.216087,-34.559254
57472,0,0,-23.997135,-9.754951
57488,-1,-1,-12.200351,-8.466303
57499,0,0,-4.993472,-45.951
57544,1,0,3.788115,27.724337
57566,2,0,-0.9801158,20.794653
57582,1,1,19.377205,35.030506
57594,2,0,-1.0690761,24.39267
57656,0,0,-11.35905,-16.244713
57659,1,0,4.2490335,28.068176
57667,1,1,0.6803681,39.726692
57670,0,-1,3.4666796,-60.013813
57686,-1,-1,-39.777225,-15.712213
